date,symbol,estimated_bought,estimated_sold,buy_ratio,total_off_exchange_volume,finra_period_type
2025-12-09,NVDA,22719.55895191564,24187.441048084358,0.484353272473525,46907,weekly
2025-12-09,AVGO,313.1396275842377,278.8603724157623,0.5289520736220231,592,weekly
2025-12-09,AMZN,754.4353398498786,810.5646601501214,0.4820673098082291,1565,weekly
2025-12-09,NVDA,61009.138200765214,64950.86179923478,0.48435327247352505,125960,weekly
2025-12-09,AVGO,62897.16212232115,56011.83787767885,0.5289520736220231,118909,weekly
2025-12-09,GOOGL,784360.8489559462,741302.1510440538,0.5141114708529644,1525663,weekly
2025-12-09,AAPL,289648.2987168303,107372.70128316965,0.7295541009589677,397021,weekly
2025-12-09,AAPL,81564.1484872126,30235.8515127874,0.7295541009589678,111800,weekly
2025-12-09,META,56918.60714329097,58459.39285670904,0.4933228790869227,115378,weekly
