symbol,date,finra_off_exchange_volume,estimated_dark_buy_volume,estimated_dark_sell_volume,applied_lit_buy_ratio,inference_version
NVDA,2025-12-10,46907,26286.298246159215,20620.701753840785,0.5603918017813805,OptionB_v1
AVGO,2025-12-10,592,339.5472508635738,252.45274913642615,0.5735595453776585,OptionB_v1
AMZN,2025-12-10,1565,947.2486108840285,617.7513891159715,0.6052706778811684,OptionB_v1
NVDA,2025-12-10,125960,70586.95135238269,55373.04864761732,0.5603918017813805,OptionB_v1
AVGO,2025-12-10,118909,68201.391981312,50707.608018688006,0.5735595453776585,OptionB_v1
GOOGL,2025-12-10,1525663,1003939.9319376356,521723.06806236436,0.6580351833515237,OptionB_v1
AAPL,2025-12-10,397021,203036.77430740694,193984.22569259306,0.5114005916750171,OptionB_v1
AAPL,2025-12-10,111800,57174.58614926691,54625.41385073309,0.5114005916750171,OptionB_v1
META,2025-12-10,115378,50333.60954052003,65044.390459479975,0.4362496276631596,OptionB_v1
